task_index	label	input_path	input_sha256	expected_atoms
10	disp00010	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00010-disp00010/scf.in	bebc5d31cc6cf499477a128d9ce95dec2a98570c1497ed4a3e4de93f62459fe4	72
11	disp00011	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00011-disp00011/scf.in	2e1f9f50f95a9cc796b579eaf34e76cb575c45c091a0ada42dd5f3c812f1e2d9	72
12	disp00012	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00012-disp00012/scf.in	224f85b63c543fce4041bffa3ecdeff60740d74b201207a795fe4e5c0551cd14	72
13	disp00013	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00013-disp00013/scf.in	a261b794119874172b8b8442f2864129fa645e0a3da780c90f8d558ebb23f5e7	72
14	disp00014	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00014-disp00014/scf.in	b6afff8cfbbda45a6e19db0d8b40ba359fe7ce4f994344590399816756a4e8c9	72
15	disp00015	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00015-disp00015/scf.in	16b055cb744307bb662fb26d31e2b15ecdc109dcaa295591d6dbdd083cb43dd4	72
16	disp00016	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00016-disp00016/scf.in	7c982c66de70db90d8d3094dcde0f9d0bfab6094083391922d115f5c1b8e720d	72
17	disp00017	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00017-disp00017/scf.in	418502c4a4ccefa18731d11160a23807405ade6e997f795127cb4845fc2b34a4	72
18	disp00018	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00018-disp00018/scf.in	eafbcd1a4b2e988be9f218dff029b504a8c5b9cb46893a1dc3b71f493c0279fb	72
19	disp00019	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00019-disp00019/scf.in	285734f922b4a16b0af5aa4e1d299c458c40fef5312f853ffd5cbf63bcc834f7	72
20	disp00020	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00020-disp00020/scf.in	c7bfbaaadce9b31cc93610e777312d38784796526d447e246922b3fe76f2d157	72
21	disp00021	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00021-disp00021/scf.in	d0bc0455b13d598dfcd17517f81c76244ed7a77d2e4d2b47c25f43a8e181fa41	72
22	disp00022	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00022-disp00022/scf.in	a7efe88a457f16d415b317c434b258407f015783e75f66590c57a26cef56bea2	72
23	disp00155	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00023-disp00155/scf.in	fd1d2db3b22f540c03369ddb7017a2e2e137d8a19dc99bf05d775d89d5c3cf26	72
24	disp00156	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00024-disp00156/scf.in	5acd4cca8add89c4c97cc3efa518bb5036c697ae6908d9d925b49563c163c35a	72
25	disp00157	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00025-disp00157/scf.in	d034f313a1741fd5f942fd96a5636de0ad61f3c7a8c3da4837b7621638d3cded	72
26	disp00158	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00026-disp00158/scf.in	d829ce488cbf5dfe779300b7dff71658906eadec34c9093ac320a5a7aa3cc854	72
27	disp00159	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00027-disp00159/scf.in	fe9b094041fdd9b742b00acf7a2a364fcc87e921db5c349e6554b5276b2a5b58	72
28	disp00160	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00028-disp00160/scf.in	5d3c2f76b9e0104dd0b8e6d070c8877431b61739717d447d83e96aabb15a9ec1	72
29	disp00185	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00029-disp00185/scf.in	0076512f20d64604dcdc04240c01343fd19e42de3f2dd35f9386ec70e627681c	72
30	disp00186	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00030-disp00186/scf.in	55831129171aeb929081a907d33e7b9821089a8bde9c4e40390d65474993cbe0	72
31	disp00187	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00031-disp00187/scf.in	b08e8d640de6763e44a2e652163932036ae5b7f82d756df3db41b599aa98874e	72
32	disp00188	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00032-disp00188/scf.in	86a0df9ecef929c4c4e289f68d29c5e96bc9c5f5e3d128ab1d99da41fbfd977f	72
33	disp00189	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00033-disp00189/scf.in	7062cde5823d853bc19f8de506be5a83d2bee50e4d9cefb07c2925bd04350287	72
34	disp00190	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00034-disp00190/scf.in	1fd2e676ab0a1bf728bc3d1b864baca0c373abfcf0020f8c3daf34a0aa243638	72
35	disp00191	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00035-disp00191/scf.in	b92a71f0f1256f9e58cd6cac411bc73952e5a9a15ef10ed2428d788019a4692a	72
36	disp00192	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00036-disp00192/scf.in	62486a24fca1192b5f62a922215afbbf6b454add97d6d65ff33889a519ace23a	72
37	disp00193	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00037-disp00193/scf.in	93d2da4e04a2c00304a6a58dc36ddb906026ba7c12779aea3d9a554538d6b007	72
38	disp00194	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00038-disp00194/scf.in	daa807e4bb72104c0c57d8c33f79ffe958f72012196dc40e586ace7c6b44b1a8	72
39	disp00195	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00039-disp00195/scf.in	ae7ef973c898bd69b66ef92686d0f0820a82d546974c2a51f733190afd04e8c4	72
40	disp00196	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00040-disp00196/scf.in	eafed17f3044f49a849b8da1ef91b1b57bbe2c7b092e0f8ecef5388bc2d02572	72
41	disp00227	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00041-disp00227/scf.in	d38372b18aadce58c173c912f181571c2ab33165376b1db6b497a28ef50dbd49	72
42	disp00228	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00042-disp00228/scf.in	2126f5d10271d040dafbe9c3d4aab7428b6f85102ad3eb93e1be696a58290d9e	72
43	disp00229	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00043-disp00229/scf.in	d405a5e6e84e5dad10bf14259db476c12bd02684cb7badadc906f0db68084a5c	72
44	disp00230	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00044-disp00230/scf.in	13544fdd3da07f682880e4f14dca837bd14a22ecd24df091d7fa49738fa76821	72
45	disp00231	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00045-disp00231/scf.in	faba22927eccdc25c6dac1a2c500c02f583a82d7a74f88fe39005e3cb8c55eb0	72
46	disp00232	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00046-disp00232/scf.in	c9f12ddf002cf4fbe1007df0162a5cdfe7e82245c4e346ff51e03c106e96c536	72
47	disp00251	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00047-disp00251/scf.in	de8518c0e7447be0daf275fc4f38974a0caa871ff48c7c734cfd54b20930df6d	72
48	disp00252	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00048-disp00252/scf.in	14a6e642bd200573fab1b77901ed14123753140c20ab9e00605bc2ae0cf33731	72
49	disp00253	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00049-disp00253/scf.in	a53a0776f8eee2a756e0914f581526f616177771de18ee24bc47c1aa6ab3bc9e	72
50	disp00254	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00050-disp00254/scf.in	db8e076640dd82d9ad32e38fbb215087c470cb86d0da0addfabb4369d81d247e	72
51	disp00387	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00051-disp00387/scf.in	242a063ed94c94f28c7af11a21f568a740a85d837d38e655a97c1ff68ad1cdc7	72
52	disp00388	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00052-disp00388/scf.in	2204ae97b270f4d423cae52b09dd2e32ac2974dae4d3b2180a45df7c20a2622c	72
53	disp00389	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00053-disp00389/scf.in	978586b2c5e2a8027b01bd01cb0b06d73d4bc5914e8dbeb5978ed237b0dfc3c6	72
54	disp00390	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00054-disp00390/scf.in	75295606032361ad0b45b60bcc38a32d4ba9efcf62b6e04c4801fa1e95b58980	72
55	disp00391	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00055-disp00391/scf.in	a3dade67a230bc7c802457c49765aea0b706da3c77b42ef43fd45ada742c1a4b	72
56	disp00392	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00056-disp00392/scf.in	1297c1ab1adcdbadd8bd72652c267e313f95d71a644960ca07e457d1d1ce5209	72
57	disp00417	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00057-disp00417/scf.in	afec172f3fe7a114fa99e33fd9569724436c40303241533280e5197ef99d12f6	72
58	disp00418	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00058-disp00418/scf.in	8acbd77b36fa9d58afb3ff9b844cb39edf7e8f68b501651607f7a6201ad177a7	72
59	disp00419	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00059-disp00419/scf.in	fe02ac797409d42f76a00472cdf3950ac5316489b2ead46e0c5895148db31254	72
60	disp00420	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00060-disp00420/scf.in	bc5f26892345d0001644dbe81b5cb39cd65640d09eb3cca660e5f19e45d58a5c	72
61	disp00421	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00061-disp00421/scf.in	d0501f4243c4edad6601cd74b6a6fcf4fd49177fdb64a74dcbf0bcd0d0f364b5	72
62	disp00422	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00062-disp00422/scf.in	c8b9810d6c4640af749ecebd02b2dc79e4272679905ec929312ebbd191affca4	72
63	disp00423	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00063-disp00423/scf.in	659cac42ecdaa0dce600990abe476232f137885befa9683dca90b795519a9c8f	72
64	disp00424	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00064-disp00424/scf.in	417547d9f49b2d6b0aad16dd7514d266402c60fdc0263f9d983144439dddc417	72
65	disp00425	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00065-disp00425/scf.in	1af464faf39be30a53643f860c58b082d100d00257eb7d6fcbec0fa3982b77a5	72
66	disp00426	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00066-disp00426/scf.in	d6057709badeaa31defdb376fc13e5516c4c5ac6faa9fc039eb618abf6cc93f5	72
67	disp00427	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00067-disp00427/scf.in	8b763ee3dc81bdb14dca0a3b7a19d95b84b3bc28d5e2353329cf3df6b27a61c8	72
68	disp00428	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00068-disp00428/scf.in	c8895e44275e8b0d7cb537968e68614f7f04562f638d7537cfddad1daf2d954c	72
69	disp00459	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00069-disp00459/scf.in	cab372a77964c2f5af83cdd7fa00e920664fb5f012ae77a066b86b6986a42548	72
70	disp00460	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00070-disp00460/scf.in	82fe9dda74bff2abfa033e53949ad595dd48df5bcf1e96286e589747ef27652e	72
71	disp00461	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00071-disp00461/scf.in	569aa6ea161004a227178fccf5d849bf9646b437ae07f756de994d5a5c16f004	72
72	disp00462	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00072-disp00462/scf.in	b0aae29346901737418ca8baacbc90e36a08e507355eea0bf58df12441c3dc3d	72
73	disp00463	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00073-disp00463/scf.in	8b555291b5dd3171bbc0bb1c8e36857d58721e0807b244a2b0eabf952851e788	72
74	disp00464	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00074-disp00464/scf.in	7576695b443631f4dab5ead51e42c90aa2c91ce5e18e91e08953dc4335dae6b8	72
75	disp00483	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00075-disp00483/scf.in	d310369f34b2cf8fd9df33d35070d416d92018190f9e8ee16754323b102ae10d	72
76	disp00484	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00076-disp00484/scf.in	fb7e59a31814e887e056fc45bd9ff06d0a2aee01a3ae7f8bdbc9c673937da4f2	72
77	disp00485	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00077-disp00485/scf.in	08b576798f0940b47e91bbefd671a1d5946c8e6282cf02b874a7d34eef35caea	72
78	disp00486	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00078-disp00486/scf.in	18681da17c664f6f32c1ce7627b84b6189322046d16a635608c888ab791a9d5f	72
79	disp00619	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00079-disp00619/scf.in	ae646d8579ffea3b5bafd84d7cfb0fa6757856dbe9fd31ff925609d72abc4301	72
80	disp00620	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00080-disp00620/scf.in	6e40a11bee91f48c7bf56922716dd3d2c8b5cd7d8645621a9ede730412d7aac0	72
81	disp00621	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00081-disp00621/scf.in	354ec9cc9a58243aa52cd75902fcb7358d24582d5aafd8ac377c7f0dad7a7987	72
82	disp00622	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00082-disp00622/scf.in	8f15561a85edd28b483fe135689d14521ee16892616ebd4994d79fbe56e93eec	72
83	disp00623	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00083-disp00623/scf.in	f53ce4ffd9c76a67d3cf9f1cade090ee93f678d2fab32aa52d9aa5cb505dd8d6	72
84	disp00624	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00084-disp00624/scf.in	3670ceba57da6eef766bba7917dda894a4be24292f9cf6a50e5e7ec865a90163	72
85	disp00649	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00085-disp00649/scf.in	11d302c207c09e69b468f1e63a51027892cb80c0f3aabbfbb50ca956d501f507	72
86	disp00650	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00086-disp00650/scf.in	b39212befd960215a8909424cb7444466d4b917414122d5c34cf396fdb94cfb4	72
87	disp00651	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00087-disp00651/scf.in	f84ba1b2f432a5cc437ae23ac2b564b34a53d74f806eab2fc893962f78eba63c	72
88	disp00652	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00088-disp00652/scf.in	ca398d897dc367c04d976e7b2159779eb66e8abe375e5c68cb63d620bedfa5b8	72
89	disp00653	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00089-disp00653/scf.in	716a457f4021f0b38bdb781bb11723cb4350ba266003a863de9f72fd3efd7c05	72
90	disp00654	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00090-disp00654/scf.in	84c2fbf3e2380a6cc4821b7f45e295cd085334ca843f665644b27347fd2d7c88	72
91	disp00655	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00091-disp00655/scf.in	4514757ebf7d28f619af758308369bf550de93252e44c70341f0447711630fb8	72
92	disp00656	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00092-disp00656/scf.in	d4e0ace01dc2a01d910db53354af5126b69d2ae1e0ba9e6186266bb3234d723b	72
93	disp00657	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00093-disp00657/scf.in	d7e166ec4d6d2ca9d19796d1493bbf86cbb1b6c6f7dbd6e1ec9eb89ce3897350	72
94	disp00658	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00094-disp00658/scf.in	6d8ab192ecf2231c4f52f5db0e31cc8e67f8d8cfa229b2dec640d4210a0fbcfc	72
95	disp00659	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00095-disp00659/scf.in	d36fb2247681ebb1212931675cee1806dfe8b53b05adf09fc551ad74b186dc3a	72
96	disp00660	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00096-disp00660/scf.in	479d069205d34adc8cd0576a6a798fef6d4f00c8e025b3ef98b353655fe04b00	72
97	disp00691	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00097-disp00691/scf.in	39e3f6fc79a12de8f62c0ee75f5242cc123541151a2f3419eef28170499d59b8	72
98	disp00692	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00098-disp00692/scf.in	ee0a552671c2b01af71c49fa748fcc5001a58207c4eb7ab319527a61c4853a1c	72
99	disp00693	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00099-disp00693/scf.in	6913503f39f65dff5408ae8b8083e8d63dfa446d7ae7ca0f28a83f6da4c73325	72
100	disp00694	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00100-disp00694/scf.in	09ee91c88a26eea428326f00672e1ce74e36d0c8fb86bd3f4ec45700595af5be	72
101	disp00695	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00101-disp00695/scf.in	85c2b94fc2bd99faf1dbb0a773ba1e9647a53014bde1b8b840117e0b6797973a	72
102	disp00696	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00102-disp00696/scf.in	c18a6ff9f44256e166a9a19b44f9672e224921b8d43914a9b1b3e586bcd0f020	72
103	disp00715	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00103-disp00715/scf.in	663470cfc7ac0515393625decfe1e03bda70001e1cb78a820c9477fa1b55c536	72
104	disp00716	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00104-disp00716/scf.in	d3ea9a06727581ce5a4523c1e2fef76e47757d0495300808a68f557b9de2dfff	72
105	disp00717	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00105-disp00717/scf.in	095bb3c09f8cbab717fec150455633812d54ffbd13b23751fcb99b88e4346312	72
106	disp00718	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00106-disp00718/scf.in	0d06dcbc917f33931254f8d61a5add0bb81255954cc5fcd489ef9004ef95acd0	72
107	disp00851	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00107-disp00851/scf.in	6fcb6f88c7ff2174a6facc61cb58f76c95303d7c9c0c8f2b57802f958b40b852	72
108	disp00852	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00108-disp00852/scf.in	23f2a680c68d126257aaa73190f3e1b1a9df5afd5131072337b676573709c80c	72
109	disp00853	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00109-disp00853/scf.in	c52c6818258b69b8f754c6387bb6a97694fef76e9aa42b655ba20c0200bc08b4	72
110	disp00854	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00110-disp00854/scf.in	7d99bb5e8625be2a5dc6c988772c73cff8fb2a35c9c242182d518eafb6509044	72
111	disp00855	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00111-disp00855/scf.in	25cedb371695c333a2cb18416384095e34c76b1f9e4b9e27d7cb8d1acf36afde	72
112	disp00856	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00112-disp00856/scf.in	a7684ca8a1c9d958f0f50cfbcf1efcab1c73e0f14113035ac52ad062539c5adf	72
113	disp00881	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00113-disp00881/scf.in	83b737754d8948bf6cb77ae034d3f3e47fabc0e9af6bc5714e0091a091c6974f	72
114	disp00882	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00114-disp00882/scf.in	35ceed3fa4e7447d7655583a1de300de5f47438621e4da2d1eb564321905e96b	72
115	disp00883	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00115-disp00883/scf.in	7b8035b3b590633c5e6407735ec188a40aed9448a033c4f7cab7456ff180eeeb	72
116	disp00884	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00116-disp00884/scf.in	0cccbf66144c99ea5f46265470829e74999344dd59b9f0de27e3bc9df06bd4f4	72
117	disp00885	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00117-disp00885/scf.in	65d9d437a4cf694f54308dd085382214882f481dbd9704ea52adcc7640cefa48	72
